id_w_time,latitude,longitude,id,x,y,year,month,week,date,time_of_year,acq_time,fire,pop_density,obs_ID,city,in_urban_area,settlement,adm2_name,pop_exact,excess_fire,predicted_fire,fire_in_window,war_fire,sustained_excess,id_big,length_of_war_fire_area,war_fire_restrictive,map_col
41.4--1.2-226-2023,-1.20961,41.39296,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,8,33,2023-08-14,226,1045,1,5.30592977669504,26690,NA,FALSE,FALSE,NA,5.292478084564209,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-226-2023,-1.20786,41.38184,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,8,33,2023-08-14,226,1045,1,5.30592977669504,26685,NA,FALSE,FALSE,NA,4.351596832275391,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-226-2023,-1.20878,41.39695,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,8,33,2023-08-14,226,0956,1,5.30592977669504,26687,NA,FALSE,FALSE,NA,5.292478084564209,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-226-2023,-1.21015,41.38942,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,8,33,2023-08-14,226,1045,1,5.30592977669504,26691,NA,FALSE,FALSE,NA,5.044637203216553,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-252-2023,-1.20317,41.3782,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26950,NA,FALSE,FALSE,NA,4.351596832275391,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.23911,41.37347,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1009,1,5.30592977669504,26942,NA,FALSE,FALSE,NA,4.628732681274414,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.20005,41.37283,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26952,NA,FALSE,FALSE,NA,4.829988956451416,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.19359,41.37198,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1104,1,5.30592977669504,26953,NA,FALSE,FALSE,NA,4.829988956451416,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.20268,41.37329,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1104,1,5.30592977669504,26943,NA,FALSE,FALSE,NA,4.267246723175049,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.23866,41.3764,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1009,1,5.30592977669504,26940,NA,FALSE,FALSE,NA,4.354363918304443,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.22251,41.38112,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26937,NA,FALSE,FALSE,NA,4.582400321960449,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.19618,41.37225,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1058,1,5.30592977669504,26945,NA,FALSE,FALSE,NA,4.829988956451416,16,6,24,1,1,41--1,207,1,NA
41.4--1.2-252-2023,-1.20236,41.37709,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,9,37,2023-09-09,252,1009,1,5.30592977669504,26932,NA,FALSE,FALSE,NA,4.351596832275391,16,6,24,1,1,41--1,207,1,NA
